Benchmark (Subset) set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    98.93 |   99.76 |      96.93 |         5.09 |
| SVT       |       647 |    98.15 |   99.47 |      95.75 |         5.87 |
| IC13_857  |       857 |    98.25 |   99.61 |      97.16 |         5.99 |
| IC15_1811 |      1811 |    90.72 |   97.22 |      92.79 |         5.37 |
| SVTP      |       645 |    95.19 |   98.57 |      94.09 |         5.86 |
| CUTE80    |       288 |    98.96 |   99.69 |      96.47 |         5.53 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7248 |    96.40 |   98.97 |      95.55 |         5.42 |


Benchmark set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    98.93 |   99.76 |      96.93 |         5.09 |
| SVT       |       647 |    98.15 |   99.47 |      95.75 |         5.87 |
| IC13_1015 |      1015 |    98.42 |   99.58 |      97.29 |         5.31 |
| IC15_2077 |      2077 |    89.74 |   96.70 |      91.88 |         5.33 |
| SVTP      |       645 |    95.19 |   98.57 |      94.09 |         5.86 |
| CUTE80    |       288 |    98.96 |   99.69 |      96.47 |         5.53 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7672 |    96.00 |   98.78 |      95.26 |         5.33 |


